County,PublishAgency,PublishTime,SiteName,UVI,WGS84Lat,WGS84Lon
花蓮縣,中央氣象局,2018-07-17 18:00,花蓮,0.35,"23,58,30","121,36,48"
連江縣,中央氣象局,2018-07-17 18:00,馬祖,0.44,"26,10,09","119,55,24"
高雄市,中央氣象局,2018-07-17 18:00,高雄,0.42,"22,33,58","120,18,57"
南投縣,中央氣象局,2018-07-17 18:00,玉山,0.53,"23,29,15","120,57,34"
臺南市,中央氣象局,2018-07-17 18:00,臺南,0.48,"22,59,36","120,12,17"
新竹縣,中央氣象局,2018-07-17 18:00,新竹,0.39,"24,49,40","121,00,51"
臺北市,中央氣象局,2018-07-17 18:00,鞍部,0.46,"25,10,57","121,31,47"
屏東縣,中央氣象局,2018-07-17 18:00,恆春,0.5,"22,00,14","120,44,47"
臺北市,中央氣象局,2018-07-17 18:00,臺北,0.46,"25,02,16","121,30,53"
臺東縣,中央氣象局,2018-07-17 18:00,成功,0.39,"23,05,51","121,22,24"
基隆市,中央氣象局,2018-07-17 18:00,基隆,0.38,"25,07,60","121,44,26"
桃園市,中央氣象局,2018-07-17 18:00,新屋,0.51,"25,00,24","121,02,51"
臺東縣,中央氣象局,2018-07-17 18:00,蘭嶼,0.25,"22,02,13","121,33,30"
臺東縣,中央氣象局,2018-07-17 18:00,臺東,0.38,"22,45,08","121,09,17"
南投縣,中央氣象局,2018-07-17 18:00,日月潭,0.37,"23,52,53","120,54,29"
金門縣,中央氣象局,2018-07-17 18:00,金門,0.67,"24,24,26","118,17,21"
宜蘭縣,中央氣象局,2018-07-17 18:00,宜蘭,0.46,"24,45,50","121,45,24"
臺中市,中央氣象局,2018-07-17 18:00,臺中,0.28,"24,08,45","120,41,03"
嘉義市,中央氣象局,2018-07-17 18:00,嘉義,0.56,"23,29,45","120,25,58"
屏東縣,環境保護署,2018-07-17 18:00,屏東,0,"22,40,23.09","120,29,16.92"
高雄市,環境保護署,2018-07-17 18:00,橋頭,1,"22,45,27.02","120,18,20.48"
臺南市,環境保護署,2018-07-17 18:00,新營,1,"23,18,20.28","120,19,2.10"
嘉義縣,環境保護署,2018-07-17 18:00,朴子,1,"23,27,55.11","120,14,50.46"
嘉義縣,環境保護署,2018-07-17 18:00,塔塔加,1,"23,28,14.19","120,52,50.06"
雲林縣,環境保護署,2018-07-17 18:00,斗六,1,"23,42,42.67","120,32,41.98"
南投縣,環境保護署,2018-07-17 18:00,南投,0,"23,54,46.8","120,41,7.1"
彰化縣,環境保護署,2018-07-17 18:00,彰化,1,"24,03,57.60","120,32,29.47"
臺中市,環境保護署,2018-07-17 18:00,沙鹿,1,"24,13,32.26","120,34,7.66"
苗栗縣,環境保護署,2018-07-17 18:00,苗栗,1,"24,33,54.97","120,49,12.72"
桃園市,環境保護署,2018-07-17 18:00,桃園,1,"24,59,12.40","121,18,31.40"
新北市,環境保護署,2018-07-17 18:00,板橋,0,"25,00,46.7","121,27,31.2"
新北市,環境保護署,2018-07-17 18:00,淡水,1,"25,09,52.20","121,26,57.26"